学校名字,所在省份,学校类型,网站热度排名,月点击量
厦门大学,福建,综合类,1,435.1w
清华大学,北京,综合类,5,238.6w
四川大学,四川,综合类,2,214.4w
陕西能源职业技术学院,陕西,理工类,537,207w
中山大学,广东,综合类,6,191.6w
北京大学,北京,综合类,4,185.1w
宝鸡职业技术学院,陕西,师范类,588,177.3w
哈尔滨师范大学,黑龙江,师范类,146,154.5w
湖南工艺美术职业学院,湖南,艺术类,699,153.5w
华南农业大学,广东,综合类,171,143.8w
江苏第二师范学院,江苏,师范类,639,142.3w
四川大学锦城学院,四川,综合类,212,142.2w
深圳大学,广东,综合类,37,141.3w
福建师范大学,福建,师范类,136,137.8w
武汉大学,湖北,综合类,3,133.8w
西安交通工程学院,陕西,理工类,697,124.1w
南京大学,江苏,综合类,8,121.8w
暨南大学,广东,综合类,39,119.2w
开封大学,河南,综合类,391,118.9w
成都职业技术学院,四川,综合类,571,109.1w
浙江师范大学,浙江,师范类,221,108.8w
天津医科大学,天津,医药类,126,107.9w
吉林大学,吉林,综合类,19,104w
闽江学院,福建,综合类,311,94.9w
中南大学,湖南,综合类,7,94w
南京师范大学,江苏,师范类,94,92.6w
海南热带海洋学院,海南,综合类,119,89w
河南工业职业技术学院,河南,理工类,721,88.9w
重庆大学,重庆,综合类,16,86.3w
北京邮电大学,北京,理工类,15,86.1w
上海师范大学,上海,综合类,89,85.2w
上海应用技术大学,上海,理工类,253,83.8w
中国人民解放军海军工程大学,湖北,军事类,865,83.7w
辽宁中医药大学,辽宁,医药类,539,83w
首都师范大学,北京,师范类,181,79w
江苏师范大学,江苏,师范类,321,78.3w
中华女子学院,北京,语言类,349,78.3w
西昌民族幼儿师范高等专科学校,四川,师范类,1057,77.5w
四川中医药高等专科学校,四川,医药类,713,77.2w
咸阳师范学院,陕西,师范类,474,77.2w
山东大学,山东,综合类,11,76.3w
华中师范大学,湖北,师范类,72,74.7w
上海财经大学,上海,财经类,47,74.1w
武汉理工大学,湖北,理工类,32,74.1w
杭州电子科技大学,浙江,理工类,156,72.9w
重庆工商大学,重庆,财经类,56,72.6w
成都大学,四川,综合类,267,72.5w
广西师范大学,广西,师范类,261,71.9w
五邑大学,广东,综合类,407,71.7w
成都医学院,四川,医药类,374,71.4w
宁波大学,浙江,综合类,209,71.4w
湖南大众传媒职业技术学院,湖南,综合类,834,71.4w
四川邮电职业技术学院,四川,理工类,870,71.3w
西安欧亚学院,陕西,综合类,425,71.1w
华南理工大学,广东,理工类,21,69.3w
延边大学,吉林,综合类,176,68.9w
广州大学,广东,综合类,64,68.7w
南昌大学,江西,综合类,34,68.2w
广东财经大学,广东,财经类,163,67.1w
浙大城市学院,浙江,理工类,367,66.3w
