车名,使用时长,使用里程,销售价格（万）
本田 飞度 2016款 1.5L LX CVT舒适型,2016年,4.3万公里,6.88
宝马X1 2010款 sDrive18i豪华型(进口),2011年,10.8万公里,9.60
奔腾B50 2013款 1.6L 手动豪华型,2015年,6.3万公里,3.55
奔驰C级 2010款 C 200 CGI 时尚型,2010年,13.9万公里,9.00
本田 奥德赛 2009款 2.4L 豪华版,2009年,12.6万公里,7.28
雪佛兰 科帕奇 2014款 2.4L 两驱城市版 7座,2016年,4.0万公里,7.90
日产 天籁 2008款 2.5L XL领先版,2009年,17.7万公里,6.00
宝马1系 2008款 120i 自动挡(进口),2011年,7.2万公里,6.60
东风风神S30 2012款 1.6L 手动尊贵型,2013年,4.8万公里,1.95
大众 途观 2015款 1.8TSI 自动两驱豪华型,2014年,4.8万公里,11.98
宝骏610 2014款 1.5L 手动舒适型,2015年,7.7万公里,2.59
大众 朗逸 2011款 1.4TSI DSG品雅版,2011年,13.4万公里,4.20
雪佛兰 赛欧 2013款 三厢 1.2L 手动时尚版,2014年,6.3万公里,2.30
福特 福睿斯 2017款 改款 1.5L 自动舒适型,2018年,3.1万公里,6.41
MG3 2013款 1.5L AMT精英版,2014年,7.2万公里,3.40
奥迪A6L 2011款 2.4L 技术型,2011年,14.1万公里,11.80
别克 凯越 2011款 1.6LX-AT,2011年,6.7万公里,2.99
沃尔沃S60 2011款 2.0T 舒适版(进口),2011年,5.2万公里,8.28
起亚 智跑 2015款 2.0L 自动两驱版DLX,2016年,3.8万公里,8.95
大众 凌渡 2015款 230TSI DSG风尚版,2015年,10.4万公里,8.30
大众 途观 2015款 1.8TSI 自动两驱豪华型,2015年,10.3万公里,12.68
本田 飞度 2016款 1.5L LX CVT舒适型,2017年,5.8万公里,6.98
标致308 2012款 1.6L 自动风尚型,2012年,9.7万公里,3.00
奥迪Q5 2015款 40 TFSI 舒适型,2015年,6.4万公里,22.80
宝马3系 2010款 320i 时尚型,2010年,12.0万公里,7.68
大众 速腾 2014款 改款 1.6L 自动舒适型,2014年,7.8万公里,7.16
大众 2016款 途安L 280TSI 自动舒适版,2017年,3.6万公里,10.80
日产 轩逸 2016款 1.6XL CVT豪华版,2017年,4.5万公里,7.70
丰田 YARiS L 致炫 2016款 改款 1.5E CVT魅动版,2018年,1.2万公里,6.66
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2017年,5.7万公里,27.80
哈弗H6 2016款 升级版 1.5T 自动两驱精英型,2016年,4.4万公里,6.10
铃木 奥拓 2013款 1.0L 手动舒适型,2013年,6.1万公里,1.88
奔驰R级 2010款 R 350 L 4MATIC(进口),2012年,9.4万公里,19.80
标致508 2013款 2.0L 两周年纪念 自动天窗经典版,2014年,10.1万公里,6.66
福特 蒙迪欧-致胜 2010款 2.3L 豪华型,2009年,8.5万公里,4.20
吉利 博越 2016款 1.8TD 自动四驱智尊型,2017年,3.2万公里,8.88
长安 逸动 2016款 1.6L 自动风尚型,2017年,4.3万公里,5.48
福特 嘉年华 2011款 两厢 1.5L 自动时尚型,2012年,9.8万公里,3.23
日产 骐达 2016款 1.6L CVT酷动版,2017年,2.7万公里,8.30
现代 朗动 2012款 1.6L 自动尊贵型,2013年,7.3万公里,5.00
荣威550 2012款 550 1.8T 自动足金限量版,2017年,5.5万公里,4.90
现代 途胜 2015款 1.6T 双离合两驱智能型,2017年,3.3万公里,10.60
日产 骊威 2008款 劲锐 1.6L 自动智能版,2010年,13.0万公里,3.20
奔驰GLK级 2010款 GLK 300 4MATIC 时尚型(进口),2012年,5.8万公里,14.98
别克 昂科威 2016款 20T 两驱精英型,2015年,9.4万公里,10.28
大众 朗逸 2008款 1.6L 手动品雅版,2010年,13.1万公里,2.98
雪佛兰 科鲁兹 2009款 1.6L SE MT,2010年,13.2万公里,2.89
大众 途观 2010款 1.8TSI 自动四驱菁英版,2011年,7.9万公里,8.38
大众 途观 2010款 1.8TSI 自动两驱风尚版,2012年,12.2万公里,7.00
奥迪A4L 2010款 2.0 TFSI 舒适型,2010年,8.1万公里,8.86
起亚 福瑞迪 2011款 1.6L AT Premium,2011年,11.3万公里,3.15
沃尔沃S60L 2017款 T3 智进版,2017年,3.6万公里,18.50
沃尔沃S60L 2017款 T3 智进版,2016年,7.0万公里,16.80
日产 轩逸 2014款 1.6XV CVT尊享版,2017年,5.8万公里,7.70
大众 途观 2013款 1.8TSI 自动两驱舒适版,2014年,9.2万公里,9.60
菲亚特 菲翔 2012款 1.4T 自动劲享版,2013年,9.7万公里,4.20
现代ix35 2012款 2.0L 自动两驱新锐版GL,2013年,11.5万公里,5.90
福特 福克斯 2009款 三厢 1.8L 手动舒适型,2009年,15.3万公里,1.50
奔驰GLK级 2010款 GLK 300 4MATIC 时尚型(进口),2012年,6.8万公里,12.98
起亚 智跑 2015款 2.0L 自动两驱版DLX,2016年,5.4万公里,9.50
别克 昂科威 2016款 20T 两驱精英型,2015年,7.7万公里,11.23
沃尔沃XC60 2020款 T5 四驱智远豪华版,2020年,2.9万公里,31.80
铃木 北斗星 2012款 冠军版 1.4L 手动适用型,2013年,5.8万公里,2.10
现代 朗动 2015款 1.6L 自动尊贵型,2015年,6.8万公里,6.58
陆风X7 2015款 2.0T 全景尊贵版,2016年,3.5万公里,5.80
现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,2013年,8.5万公里,2.80
沃尔沃S90 2020款 T4 智行豪华版,2020年,1.4万公里,27.50
丰田 普拉多 2016款 2.7L 自动豪华版,2016年,8.7万公里,37.90
大众 朗逸 2008款 1.6L 手动品雅版,2009年,5.1万公里,3.35
长安 逸动 2015款 1.6L 手动豪华型 国V,2015年,1.7万公里,3.90
丰田 兰德酷路泽 2017款 2017款 4.0L 自动（平行进口),2018年,3.0万公里,65.50
丰田 凯美瑞 2009款 240G 豪华版,2009年,16.8万公里,6.00
比亚迪S7 2016款 2.0T 自动尊贵型Plus,2016年,5.4万公里,5.80
现代ix25 2015款 1.6L 自动两驱智能型GLS,2015年,7.6万公里,7.80
日产 纳瓦拉 2017款 2.5L自动两驱豪华版QR25,2018年,1.0万公里,11.90
大众 帕萨特 2011款 2.0TSI DSG御尊版,2012年,15.1万公里,8.20
现代ix25 2015款 1.6L 自动两驱智能型GLS,2017年,2.5万公里,7.96
别克 昂科拉 2013款 1.4T 自动两驱领先型,2013年,8.5万公里,5.88
大众 途观 2010款 1.8TSI 自动两驱菁英版,2011年,12.3万公里,7.80
沃尔沃XC60 2019款 T5 四驱智远版 国VI,2019年,2.6万公里,29.60
